#<METADATA>Ln prior of deletion of length 10=-20.72326583694641
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-20.72326583694641
#<METADATA>Ln prior of deletion of length 7=-20.72326583694641
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-20.72326583694641
#<METADATA>Ln prior of deletion of length 4=-20.72326583694641
#<METADATA>Ln prior of deletion of length 3=-20.72326583694641
#<METADATA>Ln prior of deletion of length 2=-20.72326583694641
#<METADATA>Ln prior of deletion of length 1=-20.72326583694641
#<METADATA>Ln prior of SNV=-12.172255831138004
#<METADATA>Ln prior of insertion of length 1=-20.72326583694641
#<METADATA>Ln prior of insertion of length 2=-20.72326583694641
#<METADATA>Ln prior of insertion of length 3=-20.72326583694641
#<METADATA>Ln prior of insertion of length 4=-20.72326583694641
#<METADATA>Ln prior of insertion of length 5=-20.72326583694641
#<METADATA>Ln prior of insertion of length 6=-20.72326583694641
#<METADATA>Ln prior of insertion of length 7=-20.72326583694641
#<METADATA>Ln prior of insertion of length 8=-20.72326583694641
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.2933, alpha = 1.73, beta = 3.60
#<METADATA>High-AF beta-binomial cluster=weight = 0.0926, alpha = 10.10, beta = 0.50
#<METADATA>Binomial cluster=weight = 0.4263, mean = 0.215
#<METADATA>Binomial cluster=weight = 0.1878, mean = 0.980
#<METADATA>threshold=0.357
#<METADATA>fdr=0.023
#<METADATA>sensitivity=0.956
filter	FP	FDR	FN	FNR
weak_evidence	0.1	0.0	0.48	0.02
strand_bias	0.24	0.01	0.0	0.0
contamination	0.17	0.01	0.13	0.01
normal_artifact	0.0	0.0	0.0	0.0
orientation	0.01	0.0	0.02	0.0
haplotype	0.09	0.0	0.0	0.0
germline	0.01	0.0	0.0	0.0
