#<METADATA>Ln prior of deletion of length 10=-20.72326583694641
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-20.72326583694641
#<METADATA>Ln prior of deletion of length 7=-15.474431044742827
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-20.72326583694641
#<METADATA>Ln prior of deletion of length 4=-20.72326583694641
#<METADATA>Ln prior of deletion of length 3=-15.987267239105018
#<METADATA>Ln prior of deletion of length 2=-15.14340556709242
#<METADATA>Ln prior of deletion of length 1=-15.826771848674978
#<METADATA>Ln prior of SNV=-12.45541435445844
#<METADATA>Ln prior of insertion of length 1=-12.613676799391792
#<METADATA>Ln prior of insertion of length 2=-16.03436065567296
#<METADATA>Ln prior of insertion of length 3=-20.72326583694641
#<METADATA>Ln prior of insertion of length 4=-16.58384987858161
#<METADATA>Ln prior of insertion of length 5=-20.72326583694641
#<METADATA>Ln prior of insertion of length 6=-20.72326583694641
#<METADATA>Ln prior of insertion of length 7=-20.72326583694641
#<METADATA>Ln prior of insertion of length 8=-16.583849878581542
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.4125, alpha = 1.15, beta = 3.86
#<METADATA>High-AF beta-binomial cluster=weight = 0.0466, alpha = 10.11, beta = 0.50
#<METADATA>Binomial cluster=weight = 0.5409, mean = 0.187
#<METADATA>threshold=0.577
#<METADATA>fdr=0.136
#<METADATA>sensitivity=0.828
filter	FP	FDR	FN	FNR
weak_evidence	5.48	0.08	6.2	0.09
strand_bias	0.26	0.0	0.05	0.0
contamination	0.12	0.0	0.22	0.0
normal_artifact	3.43	0.05	1.81	0.03
orientation	0.15	0.0	2.49	0.03
slippage	0.0	0.0	0.0	0.0
haplotype	0.35	0.01	0.87	0.01
germline	0.03	0.0	0.0	0.0
